"","NTACode","ntaMHI","BoroName","NTAName","totalPop","Age3to4","Age5","Age6","Age7to9","Age10to11","playgrounds","totalChildren","percentChildren","playgroundsPer1KChildren","playgroundsPer1KResidents","discretePlaygrounds"
"1","BK09",107060.5,"Brooklyn","Brooklyn Heights-Cobble Hill",4053,409,172,141,382,220,2,1324,0.326671601283,1.51057401812689,0.493461633358006,"1.5 - 2.0"
"2","BK17",55567.3157894737,"Brooklyn","Sheepshead Bay-Gerritsen Beach-Manhattn Bch",14818,1300,603,613,1968,1208,9,5692,0.38412741260629,1.58116654954322,0.607369415575651,"1.5 - 2.0"
"3","BK19",33555.5555555556,"Brooklyn","Brighton Beach",7337,690,346,326,854,581,4,2797,0.381218481668257,1.43010368251698,0.545181954477307,"1.0 - 1.5"
"4","BK21",30582.25,"Brooklyn","Seagate-Coney Island",10023,773,390,400,1189,856,5,3608,0.35997206425222,1.38580931263858,0.49885263893046,"1.0 - 1.5"
"5","BK23",43905,"Brooklyn","West Brighton",2349,187,122,86,277,177,3,849,0.361430395913155,3.53356890459364,1.27713920817369,"2.0 or greater"
"6","BK25",42815.875,"Brooklyn","Homecrest",13739,1351,640,641,1784,1164,6,5580,0.406143096295218,1.0752688172043,0.436713006769052,"1.0 - 1.5"
"7","BK26",38909.125,"Brooklyn","Gravesend",7433,659,316,303,924,601,3,2803,0.377102112202341,1.07028184088477,0.403605542849455,"1.0 - 1.5"
"8","BK27",45353.4545454545,"Brooklyn","Bath Beach",7407,678,367,311,990,667,4,3013,0.406777372755502,1.32758048456688,0.54002970163359,"1.0 - 1.5"
"9","BK28",40793.3076923077,"Brooklyn","Bensonhurst West",22929,2082,1009,1015,2881,1892,8,8879,0.387238867809324,0.901002365131208,0.348903135766933,"0.5 - 1.0"
"10","BK29",41265.1111111111,"Brooklyn","Bensonhurst East",15413,1410,713,695,1969,1345,6,6132,0.397845974177642,0.978473581213307,0.389281775124895,"0.5 - 1.0"
"11","BK30",55911.0588235294,"Brooklyn","Dyker Heights",10889,973,487,511,1430,959,6,4360,0.400404077509413,1.37614678899083,0.551014785563413,"1.0 - 1.5"
"12","BK31",57405.8214285714,"Brooklyn","Bay Ridge",17726,1789,860,833,2305,1448,11,7235,0.408157508744218,1.52038700760194,0.620557373349882,"1.5 - 2.0"
"13","BK32",38726.8666666667,"Brooklyn","Sunset Park West",15507,1507,725,699,1957,1200,8,6088,0.392596891726317,1.31406044678055,0.51589604694654,"1.0 - 1.5"
"14","BK33",81820.5,"Brooklyn","Carroll Gardens-Columbia Street-Red Hook",8494,949,406,412,1124,663,12,3554,0.418412997409936,3.37647720877884,1.41276194961149,"2.0 or greater"
"15","BK34",32565.25,"Brooklyn","Sunset Park East",22634,2374,1186,1039,2947,1701,7,9247,0.408544667314659,0.757002271006813,0.30926924096492,"0.5 - 1.0"
"16","BK35",33915.5,"Brooklyn","Stuyvesant Heights",19908,1734,867,773,2518,1733,11,7625,0.383011854530842,1.44262295081967,0.552541691782198,"1.0 - 1.5"
"17","BK37",86236.2,"Brooklyn","Park Slope-Gowanus",12963,1602,703,682,1719,1011,6,5717,0.441024454215845,1.04950148679377,0.462855820411942,"1.0 - 1.5"
"18","BK38",73300.9166666667,"Brooklyn","DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill",7741,755,324,329,879,585,7,2872,0.371011497222581,2.43732590529248,0.904275933341945,"2.0 or greater"
"19","BK40",74399,"Brooklyn","Windsor Terrace",4450,546,238,244,572,358,2,1958,0.44,1.02145045965271,0.449438202247191,"1.0 - 1.5"
"20","BK41",42401.375,"Brooklyn","Kensington-Ocean Parkway",11571,1071,543,569,1568,1019,2,4770,0.412237490277418,0.419287211740042,0.172845907873131,"0.0 - 0.5"
"21","BK42",45739.0769230769,"Brooklyn","Flatbush",31879,2913,1366,1373,4079,2727,8,12458,0.390790175350544,0.642157649703002,0.25094890053013,"0.5 - 1.0"
"22","BK43",54292.7777777778,"Brooklyn","Midwood",17262,1543,763,718,2204,1469,5,6697,0.387961997451049,0.746602956547708,0.289653574325107,"0.5 - 1.0"
"23","BK44",54256.5333333333,"Brooklyn","Madison",10349,943,447,439,1347,882,4,4058,0.392115180210648,0.98570724494825,0.386510773987825,"0.5 - 1.0"
"24","BK45",81466.6842105263,"Brooklyn","Georgetown-Marine Park-Bergen Beach-Mill Basin",12799,1233,647,630,1835,1214,7,5559,0.434330807094304,1.25921928404389,0.546917727947496,"1.0 - 1.5"
"25","BK46",50328,"Brooklyn","Ocean Parkway South",7370,789,353,327,896,600,2,2965,0.402306648575305,0.674536256323777,0.271370420624152,"0.5 - 1.0"
"26","BK50",61104.8235294118,"Brooklyn","Canarsie",25852,1981,990,1053,3326,2258,12,9608,0.371654030635928,1.24895920066611,0.464180721027387,"1.0 - 1.5"
"27","BK58",66227.2592592593,"Brooklyn","Flatlands",19594,1525,834,777,2567,1763,8,7466,0.381035010717567,1.071524243236,0.408288251505563,"1.0 - 1.5"
"28","BK60",39016.2777777778,"Brooklyn","Prospect Lefferts Gardens-Wingate",17993,1619,781,761,2261,1579,7,7001,0.389095759462013,0.999857163262391,0.389040182293114,"0.5 - 1.0"
"29","BK61",35124.4814814815,"Brooklyn","Crown Heights North",30719,2664,1190,1291,3857,2699,17,11701,0.380904326312705,1.45286727630117,0.553403431101273,"1.0 - 1.5"
"30","BK63",38801.4444444444,"Brooklyn","Crown Heights South",12353,1125,510,538,1525,1013,5,4711,0.381364850643568,1.06134578645723,0.404759977333441,"1.0 - 1.5"
"31","BK64",75478,"Brooklyn","Prospect Heights",3504,401,210,162,395,226,4,1394,0.397831050228311,2.86944045911047,1.14155251141553,"2.0 or greater"
"32","BK68",56697.8,"Brooklyn","Fort Greene",6238,576,259,223,634,445,9,2137,0.342577749278615,4.2115114646701,1.44277011862777,"2.0 or greater"
"33","BK69",54759.4,"Brooklyn","Clinton Hill",8641,806,325,317,924,540,9,2912,0.336998032635112,3.09065934065934,1.04154611734753,"2.0 or greater"
"34","BK72",22979.5714285714,"Brooklyn","Williamsburg",17830,2060,932,830,2319,1428,4,7569,0.424509254066181,0.528471396485665,0.224340998317443,"0.5 - 1.0"
"35","BK73",48191.5384615385,"Brooklyn","North Side-South Side",11168,1076,522,471,1375,868,14,4312,0.386103151862464,3.24675324675325,1.25358166189112,"2.0 or greater"
"36","BK75",32525.1578947368,"Brooklyn","Bedford",26203,2657,1315,1231,3563,2300,12,11066,0.422318055184521,1.08440267485993,0.457962828683738,"1.0 - 1.5"
"37","BK76",55471.9166666667,"Brooklyn","Greenpoint",4967,398,215,208,547,356,9,1724,0.347090799275216,5.22041763341067,1.81195892893094,"2.0 or greater"
"38","BK77",35294.3846153846,"Brooklyn","Bushwick North",18120,1661,840,746,2308,1451,8,7006,0.386644591611479,1.14187838995147,0.441501103752759,"1.0 - 1.5"
"39","BK78",36269.2857142857,"Brooklyn","Bushwick South",22908,1949,941,953,2818,1958,11,8619,0.376244106862232,1.27625014502843,0.480181595949013,"1.0 - 1.5"
"40","BK79",34653,"Brooklyn","Ocean Hill",11271,991,481,442,1464,1009,7,4387,0.389228994765327,1.59562343286984,0.621062904799929,"1.5 - 2.0"
"41","BK81",27581.5333333333,"Brooklyn","Brownsville",22178,1775,921,824,2824,1964,15,8308,0.374605464875101,1.80548868560424,0.676345928397511,"1.5 - 2.0"
"42","BK82",34286.8518518519,"Brooklyn","East New York",33380,2840,1372,1457,4332,2972,13,12973,0.388645895745956,1.00208124566407,0.389454763331336,"1.0 - 1.5"
"43","BK83",40903.75,"Brooklyn","Cypress Hills-City Line",17524,1500,766,731,2157,1617,3,6771,0.386384387126227,0.443066016836509,0.171193791371833,"0.0 - 0.5"
"44","BK85",33163.5555555556,"Brooklyn","East New York (Pennsylvania Ave)",11026,920,441,490,1441,918,5,4210,0.381824777797932,1.18764845605701,0.453473607836024,"1.0 - 1.5"
"45","BK88",38593.8928571429,"Brooklyn","Borough Park",49235,5598,2592,2374,7005,4115,12,21684,0.440418401543617,0.553403431101273,0.243729054534376,"0.5 - 1.0"
"46","BK90",47810.7,"Brooklyn","East Williamsburg",6301,479,243,212,683,487,5,2104,0.333915251547373,2.37642585551331,0.793524837327408,"2.0 or greater"
"47","BK91",56461.5789473684,"Brooklyn","East Flatbush-Farragut",13926,1130,514,545,1769,1195,7,5153,0.370027287088898,1.35843198137008,0.502656900761166,"1.0 - 1.5"
"48","BK93",24870,"Brooklyn","Starrett City",3384,259,124,135,397,291,NA,1206,0.356382978723404,0,0,"0.0 - 0.5"
"49","BK95",37440.4285714286,"Brooklyn","Erasmus",9032,788,400,390,1220,767,3,3565,0.394707705934455,0.841514726507714,0.33215234720992,"0.5 - 1.0"
"50","BK96",50191.5882352941,"Brooklyn","Rugby-Remsen Village",15938,1418,640,672,2083,1399,9,6212,0.389760321244824,1.44880875724404,0.564688166645752,"1.0 - 1.5"
"51","BK99",7075.8,"Brooklyn","park-cemetery-etc-Brooklyn",394,51,33,18,55,28,17,185,0.469543147208122,NA,NA,"Park"
"52","BX01",22520.5,"Bronx","Claremont-Bathgate",12700,1173,572,563,1681,1103,8,5092,0.400944881889764,1.57109190887667,0.62992125984252,"1.5 - 2.0"
"53","BX03",52855.125,"Bronx","Eastchester-Edenwald-Baychester",11536,891,515,453,1468,937,6,4264,0.369625520110957,1.40712945590994,0.520110957004161,"1.0 - 1.5"
"54","BX05",28490.7272727273,"Bronx","Bedford Park-Fordham North",19273,1741,835,823,2525,1599,2,7523,0.390338815960152,0.265851389073508,0.103772116432315,"0.0 - 0.5"
"55","BX06",22189.8,"Bronx","Belmont",11852,821,439,387,1247,824,2,3718,0.313702328720891,0.537923614846692,0.168747890651367,"0.5 - 1.0"
"56","BX07",35312.125,"Bronx","Bronxdale",10830,944,453,462,1396,959,4,4214,0.389104339796861,0.94921689606075,0.369344413665743,"0.5 - 1.0"
"57","BX08",32526.8571428571,"Bronx","West Farms-Bronx River",12203,1029,530,529,1576,1009,6,4673,0.382938621650414,1.28397175262144,0.491682373186921,"1.0 - 1.5"
"58","BX09",42211.4166666667,"Bronx","Soundview-Castle Hill-Clason Point-Harding Park",18528,1456,727,680,2354,1637,6,6854,0.369926597582038,0.875401225561716,0.323834196891192,"0.5 - 1.0"
"59","BX10",57849.1666666667,"Bronx","Pelham Bay-Country Club-City Island",5815,516,277,249,721,509,2,2272,0.390713671539123,0.880281690140845,0.343938091143594,"0.5 - 1.0"
"60","BX13",45234.6666666667,"Bronx","Co-Op City",10268,810,391,390,1237,961,NA,3789,0.369010518114531,0,0,"0.0 - 0.5"
"61","BX14",25827.0714285714,"Bronx","East Concourse-Concourse Village",21864,1984,966,935,2802,1890,4,8577,0.392288693743139,0.466363530371925,0.182949140139041,"0.0 - 0.5"
"62","BX17",21889.5833333333,"Bronx","East Tremont",17136,1489,754,712,2236,1592,6,6783,0.395833333333333,0.884564352056612,0.350140056022409,"0.5 - 1.0"
"63","BX22",66860.4444444444,"Bronx","North Riverdale-Fieldston-Riverdale",6851,605,257,263,696,451,6,2272,0.331630418916946,2.64084507042254,0.875784556998978,"2.0 or greater"
"64","BX26",27777.7142857143,"Bronx","Highbridge",13965,1279,691,594,1806,1186,7,5556,0.397851772287863,1.25989920806335,0.50125313283208,"1.0 - 1.5"
"65","BX27",20145,"Bronx","Hunts Point",10234,870,459,450,1281,911,4,3971,0.388020324408833,1.00730294636112,0.390854016025015,"1.0 - 1.5"
"66","BX28",35929.4,"Bronx","Van Cortlandt Village",15737,1416,616,644,1916,1307,5,5899,0.374849081781788,0.847601288353958,0.317722564656542,"0.5 - 1.0"
